Title,Author,Avg Rating,Num Ratings
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9609368
Pride and Prejudice,Jane Austen,4.29,4641167
To Kill a Mockingbird,Harper Lee,4.26,6697335
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3695764
The Book Thief,Markus Zusak,4.39,2805593
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7133953
Animal Farm,George Orwell,4.01,4364938
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,141636
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,694715
The Fault in Our Stars,John Green,4.12,5587357
The Picture of Dorian Gray,Oscar Wilde,4.13,1786955
The Giving Tree,Shel Silverstein,4.38,1210766
Wuthering Heights,Emily Brontë,3.9,1961953
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3341104
Gone with the Wind,Margaret Mitchell,4.31,1258588
The Perks of Being a Wallflower,Stephen Chbosky,4.24,1950697
The Little Prince,Antoine de Saint-Exupéry,4.33,2379829
Jane Eyre,Charlotte Brontë,4.16,2262556
The Great Gatsby,F. Scott Fitzgerald,3.93,5739457
Crime and Punishment,Fyodor Dostoevsky,4.28,1027003
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,2477364
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,598238
"Divergent (Divergent, #1)",Veronica Roth,4.14,4291215
Memoirs of a Geisha,Arthur Golden,4.16,2083841
Les Misérables,Victor Hugo,4.21,830852
The Alchemist,Paulo Coelho,3.92,3436409
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1081229
Lord of the Flies,William Golding,3.7,3121145
Romeo and Juliet,William Shakespeare,3.74,2770258
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1971984
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2130407
The Help,Kathryn Stockett,4.47,2964703
Dracula,Bram Stoker,4.02,1417139
Charlotte’s Web,E.B. White,4.21,1996314
Fahrenheit 451,Ray Bradbury,3.97,2724075
Of Mice and Men,John Steinbeck,3.89,2755502
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1450786
The Catcher in the Rye,J.D. Salinger,3.8,3804710
1984,George Orwell,4.2,5236628
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1071591
A Thousand Splendid Suns,Khaled Hosseini,4.45,1684405
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2396085
The Outsiders,S.E. Hinton,4.14,1541161
The Secret Garden,Frances Hodgson Burnett,4.16,1264555
The Princess Bride,William Goldman,4.27,937169
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2676514
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4014044
The Odyssey,Homer,3.83,1158181
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.89,1774984
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,1264103
The Kite Runner,Khaled Hosseini,4.35,3406239
"The Giver (The Giver, #1)",Lois Lowry,4.12,2736399
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,2327916
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4684623
Where the Wild Things Are,Maurice Sendak,4.25,1043503
Green Eggs and Ham,Dr. Seuss,4.31,830873
"Dune (Dune, #1)",Frank Herbert,4.28,1572868
The Lovely Bones,Alice Sebold,3.86,2440603
The Adventures of Huckleberry Finn,Mark Twain,3.83,1319778
Life of Pi,Yann Martel,3.94,1727951
Lolita,Vladimir Nabokov,3.87,920356
A Tale of Two Cities,Charles Dickens,3.88,997147
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1452716
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,3381325
The Bell Jar,Sylvia Plath,4.05,1157119
Water for Elephants,Sara Gruen,4.11,1681749
Matilda,Roald Dahl,4.33,1074879
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,11079045
The Stand,Stephen        King,4.35,815219
Catch-22,Joseph Heller,3.99,873965
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,320536
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,810400
Rebecca,Daphne du Maurier,4.25,698922
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,499510
Great Expectations,Charles Dickens,3.8,858276
The Color Purple,Alice Walker,4.27,737860
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1132976
Anna Karenina,Leo Tolstoy,4.1,907436
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,768166
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.4,3055127
My Sister’s Keeper,Jodi Picoult,4.11,1264400
The Brothers Karamazov,Fyodor Dostoevsky,4.39,370313
A Tree Grows in Brooklyn,Betty  Smith,4.3,499833
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1595211
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.1,673880
Siddhartha,Hermann Hesse,4.08,848185
